pathogen,antibiotic_class,resistant_dalys,resistant_ylls,resistant_ylds,resistant_deaths,total_dalys,log_burden,mortality_prop,resistance_attr_frac
Acinetobacter baumannii,Aminoglycosides,58323.575467312156,57873.90611454048,449.66935277165794,2387.643474284948,1382924.9587729888,4.765851586336348,0.9922900928283508,0.04217407104942279
Acinetobacter baumannii,Anti-pseudomonal penicillin/Beta-Lactamase inhibitors,32787.85894571642,32685.58749324957,102.27145246685899,1342.0340458219334,1812733.506618776,4.515726303457976,0.996880813332881,0.018087522973453705
Acinetobacter baumannii,Beta Lactam/Beta-lactamase inhibitors,4011.770006956901,4003.3028714731686,8.467135483731779,178.12870319039507,1570401.5828032175,3.603444268736605,0.9978894264952755,0.0025546140878155254
Acinetobacter baumannii,Carbapenems,295096.7809278213,294124.1346707028,972.6462571185405,12324.422268624596,1765360.4233736452,5.4699659437106485,0.9967039753735693,0.1671595086310388
Acinetobacter baumannii,Fluoroquinolones,219424.27855466068,218998.2236001923,426.05495446837176,9114.422249964015,1771298.9140241896,5.341286658354481,0.9980583053193804,0.12387761140560605
Acinetobacter baumannii,Fourth-generation cephalosporins,9801.033820191287,9765.277261246652,35.75655894463064,418.8769473491147,1832277.7863749447,3.9913161966358146,0.996351756396252,0.005349098206108834
Acinetobacter baumannii,Third-generation cephalosporins,58464.84376995454,58236.165482774035,228.67828718048506,2740.5170100335017,2003488.050530536,4.7669022217331145,0.996088618861614,0.029181528561886185
Citrobacter spp.,Aminoglycosides,1124.7883958066718,1117.1408537608145,7.64754204585738,37.54959355639348,18336.40117007494,3.051456767806949,0.9932009059887458,0.06134182958661858
Citrobacter spp.,Anti-pseudomonal penicillin/Beta-Lactamase inhibitors,9951.06897867321,9899.566578426382,51.50240024682457,377.122116639721,45004.07710939366,3.9979133774907676,0.9948244354091803,0.2211148326513713
Citrobacter spp.,Carbapenems,4340.456110191019,4318.483931993405,21.972178197614255,152.0732987906411,16960.351255439557,3.637635414894987,0.994937818137125,0.2559178194377716
Citrobacter spp.,Fluoroquinolones,7324.706842967869,7294.542493890415,30.164349077459523,266.0034413137271,45466.22801560345,3.864849535263716,0.995881835311072,0.1611021446611749
